min,stage_default,stage_2d_capture,stage_inlet_fixed,ws_2d_capture,ws_default,ws_inlet_fixed,flow_inlet_fixed,flow_inlet_2d_capture,ws_inlet_2d_capture,ws_inlet_fixed_node,ws_inlet_2d_capture_node
0,85,85,89.99,90,90,90,0,0,90,89.99,89.99
1,85,85,89.99,90,90,90,0,0,90,89.99,89.99
2,85,85,89.99,90.001,90.001,90.001,0,0,90.001,89.99,89.99
3,85,85,90.013,90.011,90.004,90.013,0,0.041,90.004,89.99,90.004
4,85.001,85,90.038,90.029,90.011,90.038,0,0.088,90.019,89.99,90.019
5,85.002,85.001,90.056,90.042,90.017,90.056,0,0.136,90.035,89.99,90.036
6,85.003,85.002,90.068,90.054,90.025,90.068,0,0.197,90.049,89.99,90.049
7,85.006,85.003,90.078,90.062,90.032,90.078,0,0.248,90.058,89.99,90.058
8,85.008,85.004,90.085,90.069,90.037,90.085,0,0.282,90.064,89.99,90.064
9,85.011,85.006,90.09,90.073,90.04,90.09,4.983,0.306,90.069,90.002,90.069
10,85.014,85.007,90.094,90.076,90.043,90.094,0,0.325,90.072,89.99,90.072
11,85.018,85.009,90.097,90.079,90.046,90.097,0,0.342,90.075,89.99,90.075
12,85.021,85.011,90.1,90.082,90.049,90.1,0,0.357,90.078,89.99,90.078
13,85.025,85.013,90.102,90.084,90.052,90.102,0,0.373,90.081,89.99,90.081
14,85.029,85.015,90.105,90.087,90.055,90.105,0,0.39,90.084,89.99,90.084
15,85.033,85.017,90.108,90.09,90.059,90.108,0,0.409,90.087,89.99,90.087
16,85.038,85.019,90.111,90.094,90.063,90.111,0,0.431,90.091,89.99,90.091
17,85.043,85.021,90.114,90.097,90.068,90.114,0.269,0.459,90.095,89.992,90.095
18,85.048,85.024,90.117,90.101,90.073,90.117,0,0.49,90.099,89.99,90.099
19,85.054,85.027,90.121,90.106,90.078,90.121,4.983,0.522,90.104,90.003,90.104
20,85.06,85.03,90.124,90.11,90.083,90.124,0,0.555,90.109,89.99,90.109
21,85.066,85.033,90.129,90.115,90.089,90.129,0,0.589,90.114,89.99,90.113
22,85.073,85.036,90.133,90.12,90.094,90.133,4.888,0.625,90.118,90.007,90.118
23,85.081,85.039,90.137,90.125,90.1,90.137,0.269,0.661,90.124,89.992,90.124
24,85.088,85.043,90.142,90.13,90.106,90.142,4.888,0.698,90.129,90.005,90.129
25,85.097,85.047,90.146,90.135,90.112,90.147,0.269,0.736,90.134,89.992,90.134
26,85.105,85.051,90.151,90.141,90.118,90.151,0.15,0.774,90.139,89.99,90.139
27,85.114,85.055,90.156,90.146,90.124,90.156,0.269,0.818,90.145,89.992,90.145
28,85.124,85.06,90.161,90.151,90.129,90.161,4.888,0.862,90.15,90.01,90.15
29,85.134,85.065,90.166,90.157,90.135,90.166,4.984,0.907,90.155,90.008,90.155
30,85.144,85.07,90.171,90.162,90.141,90.171,0.15,0.952,90.161,89.99,90.161
31,85.155,85.075,90.177,90.167,90.147,90.177,0.269,0.998,90.166,90,90.166
32,85.167,85.081,90.182,90.173,90.153,90.182,4.893,1.044,90.172,90.015,90.172
33,85.178,85.087,90.187,90.178,90.159,90.187,4.984,1.089,90.177,90.015,90.177
34,85.19,85.093,90.193,90.184,90.164,90.192,5,1.135,90.183,90.005,90.183
35,85.203,85.099,90.198,90.189,90.17,90.198,5,1.181,90.188,90.003,90.188
36,85.216,85.106,90.203,90.195,90.176,90.203,5,1.231,90.194,90.013,90.194
37,85.23,85.113,90.209,90.2,90.182,90.209,0.269,1.283,90.199,90,90.199
38,85.244,85.12,90.214,90.205,90.188,90.214,5,1.335,90.204,90.002,90.204
39,85.258,85.128,90.219,90.211,90.193,90.219,5,1.387,90.21,90.005,90.21
40,85.273,85.136,90.225,90.216,90.199,90.225,5,1.438,90.215,90.02,90.215
41,85.288,85.144,90.23,90.222,90.205,90.23,5,1.491,90.221,90.069,90.221
42,85.304,85.153,90.236,90.227,90.211,90.236,5,1.543,90.226,90.103,90.226
43,85.32,85.162,90.241,90.233,90.216,90.241,5,1.595,90.232,90.126,90.232
44,85.336,85.171,90.246,90.238,90.222,90.246,5,1.647,90.237,90.144,90.237
45,85.353,85.18,90.252,90.244,90.228,90.252,5,1.702,90.243,90.16,90.243
46,85.371,85.19,90.257,90.249,90.234,90.257,5,1.759,90.248,90.174,90.248
47,85.388,85.2,90.263,90.254,90.239,90.263,5,1.817,90.254,90.186,90.254
48,85.407,85.211,90.268,90.26,90.245,90.268,5,1.874,90.259,90.198,90.259
49,85.425,85.222,90.274,90.265,90.251,90.274,5,1.932,90.265,90.208,90.265
50,85.445,85.233,90.279,90.271,90.257,90.279,5,1.99,90.27,90.218,90.27
51,85.464,85.244,90.285,90.276,90.262,90.285,5,2.047,90.276,90.228,90.276
52,85.484,85.256,90.29,90.282,90.268,90.29,5,2.105,90.281,90.237,90.281
53,85.504,85.268,90.296,90.287,90.274,90.296,5,2.163,90.287,90.246,90.287
54,85.525,85.281,90.301,90.293,90.279,90.301,5,2.222,90.292,90.254,90.292
55,85.547,85.294,90.307,90.298,90.285,90.307,5,2.285,90.297,90.262,90.298
56,85.568,85.307,90.312,90.304,90.291,90.312,5,2.347,90.303,90.27,90.303
57,85.59,85.321,90.318,90.309,90.296,90.318,5,2.41,90.308,90.278,90.308
58,85.613,85.335,90.323,90.315,90.302,90.323,5,2.473,90.314,90.285,90.314
59,85.636,85.349,90.329,90.32,90.308,90.329,5,2.535,90.319,90.293,90.319
60,85.659,85.364,90.334,90.326,90.313,90.334,5,2.598,90.325,90.3,90.325
61,85.683,85.379,90.34,90.331,90.319,90.34,5,2.661,90.33,90.307,90.33
62,85.707,85.394,90.345,90.337,90.325,90.345,5,2.724,90.336,90.314,90.336
63,85.732,85.41,90.351,90.342,90.33,90.351,5,2.787,90.341,90.321,90.341
64,85.757,85.426,90.356,90.347,90.336,90.356,5,2.855,90.347,90.327,90.347
65,85.783,85.443,90.362,90.353,90.342,90.362,5,2.922,90.352,90.334,90.352
66,85.809,85.46,90.368,90.358,90.347,90.368,5,2.989,90.358,90.341,90.358
67,85.835,85.477,90.373,90.364,90.353,90.373,5,3.056,90.363,90.347,90.363
68,85.862,85.495,90.379,90.369,90.359,90.379,5,3.124,90.369,90.354,90.369
69,85.889,85.514,90.384,90.375,90.364,90.384,5,3.191,90.374,90.36,90.374
70,85.917,85.532,90.39,90.38,90.37,90.39,5,3.258,90.38,90.367,90.38
71,85.945,85.551,90.395,90.386,90.375,90.395,5,3.326,90.385,90.373,90.385
72,85.974,85.571,90.401,90.391,90.381,90.401,5,3.394,90.391,90.379,90.391
73,86.003,85.59,90.406,90.397,90.387,90.406,5,3.465,90.396,90.386,90.396
74,86.032,85.611,90.412,90.402,90.392,90.412,5,3.537,90.402,90.392,90.402
75,86.062,85.631,90.417,90.408,90.398,90.417,5,3.608,90.407,90.398,90.407
76,86.092,85.653,90.423,90.413,90.404,90.423,5,3.68,90.412,90.404,90.413
77,86.123,85.674,90.428,90.419,90.409,90.428,5,3.751,90.418,90.41,90.418
78,86.154,85.696,90.434,90.424,90.415,90.434,5,3.823,90.424,90.416,90.423
79,86.185,85.718,90.439,90.43,90.42,90.439,5,3.895,90.429,90.422,90.429
80,86.217,85.741,90.445,90.435,90.426,90.445,5,3.967,90.434,90.428,90.434
81,86.249,85.765,90.451,90.441,90.432,90.451,5,4.038,90.44,90.435,90.44
82,86.282,85.788,90.456,90.446,90.437,90.456,5,4.114,90.445,90.441,90.445
83,86.315,85.812,90.462,90.451,90.443,90.462,5,4.19,90.451,90.446,90.451
84,86.349,85.837,90.467,90.457,90.448,90.467,5,4.265,90.456,90.452,90.456
85,86.383,85.862,90.473,90.462,90.454,90.473,5,4.341,90.462,90.458,90.462
86,86.417,85.887,90.478,90.468,90.46,90.478,5,4.417,90.467,90.464,90.467
87,86.452,85.913,90.484,90.473,90.465,90.484,5,4.492,90.473,90.47,90.473
88,86.488,85.94,90.489,90.479,90.471,90.489,5,4.568,90.478,90.476,90.478
89,86.523,85.967,90.495,90.484,90.477,90.495,5,4.644,90.484,90.482,90.484
90,86.559,85.994,90.5,90.49,90.482,90.5,5,4.72,90.489,90.488,90.489
91,86.596,86.022,90.506,90.495,90.488,90.506,5,4.799,90.495,90.494,90.495
92,86.633,86.05,90.512,90.501,90.493,90.511,5,4.878,90.5,90.5,90.5
93,86.67,86.079,90.517,90.506,90.499,90.517,5,4.958,90.506,90.505,90.506
94,86.708,86.108,90.523,90.512,90.504,90.523,5,5.037,90.511,90.511,90.511
95,86.746,86.137,90.528,90.517,90.51,90.528,5,5.117,90.516,90.517,90.517
96,86.785,86.167,90.534,90.523,90.516,90.534,5,5.197,90.522,90.523,90.522
