station,date,time,flow
meter,7/3/2020,0:00,0.073616458
meter,7/3/2020,0:12,0.073636449
meter,7/3/2020,0:24,0.088071563
meter,7/3/2020,0:36,0.085949915
meter,7/3/2020,0:48,0.095691777
meter,7/3/2020,1:00,0.090945702
meter,7/3/2020,1:12,0.092730756
meter,7/3/2020,1:24,0.109166542
meter,7/3/2020,1:36,0.138664353
meter,7/3/2020,1:48,0.132211703
meter,7/3/2020,2:00,0.135431497
meter,7/3/2020,2:12,0.147751515
meter,7/3/2020,2:24,0.164406975
meter,7/3/2020,2:36,0.200838824
meter,7/3/2020,2:48,0.248504953
meter,7/3/2020,3:00,0.280762207
meter,7/3/2020,3:12,0.32181755
meter,7/3/2020,3:24,0.343662148
meter,7/3/2020,3:36,0.343324348
meter,7/3/2020,3:48,0.34052255
meter,7/3/2020,4:00,0.346446031
meter,7/3/2020,4:12,0.344967277
meter,7/3/2020,4:24,0.340267498
meter,7/3/2020,4:36,0.344486913
meter,7/3/2020,4:48,0.347203265
meter,7/3/2020,5:00,0.335002679
meter,7/3/2020,5:12,0.343780603
meter,7/3/2020,5:24,0.345801944
meter,7/3/2020,5:36,0.328759062
meter,7/3/2020,5:48,0.326787788
meter,7/3/2020,6:00,0.313801822
meter,7/3/2020,6:12,0.319960031
meter,7/3/2020,6:24,0.318340557
meter,7/3/2020,6:36,0.32650128
meter,7/3/2020,6:48,0.311486207
meter,7/3/2020,7:00,0.307545469
meter,7/3/2020,7:12,0.306864534
meter,7/3/2020,7:24,0.309496397
meter,7/3/2020,7:36,0.306978496
meter,7/3/2020,7:48,0.283825073
meter,7/3/2020,8:00,0.286874737
meter,7/3/2020,8:12,0.272576136
meter,7/3/2020,8:24,0.274708405
meter,7/3/2020,8:36,0.270596553
meter,7/3/2020,8:48,0.278123884
meter,7/3/2020,9:00,0.255645917
meter,7/3/2020,9:12,0.253876294
meter,7/3/2020,9:24,0.241238955
meter,7/3/2020,9:36,0.248446539
meter,7/3/2020,9:48,0.226590373
meter,7/3/2020,10:00,0.218017049
meter,7/3/2020,10:12,0.208362178
meter,7/3/2020,10:24,0.217800989
meter,7/3/2020,10:36,0.20594382
meter,7/3/2020,10:48,0.192232799
meter,7/3/2020,11:00,0.192655409
meter,7/3/2020,11:12,0.207796514
meter,7/3/2020,11:24,0.200481876
meter,7/3/2020,11:36,0.209028662
meter,7/3/2020,11:48,0.183485736
meter,7/3/2020,12:00,0.189449041
meter,7/3/2020,12:12,0.179084091
meter,7/3/2020,12:24,0.177517149
meter,7/3/2020,12:36,0.163084039
meter,7/3/2020,12:48,0.168059756
meter,7/3/2020,13:00,0.151736281
meter,7/3/2020,13:12,0.161959969
meter,7/3/2020,13:24,0.153018645
meter,7/3/2020,13:36,0.143162396
meter,7/3/2020,13:48,0.158867695
meter,7/3/2020,14:00,0.151504845
meter,7/3/2020,14:12,0.147490875
meter,7/3/2020,14:24,0.072689212
meter,7/3/2020,14:36,0.076464271
meter,7/3/2020,14:48,0.082008596
meter,7/3/2020,15:00,0.089945126
meter,7/3/2020,15:12,0.090830233
meter,7/3/2020,15:24,0.099348831
meter,7/3/2020,15:36,0.100970342
meter,7/3/2020,15:48,0.102691106
meter,7/3/2020,16:00,0.136200515
meter,7/3/2020,16:12,0.147610608
meter,7/3/2020,16:24,0.132469282
meter,7/3/2020,16:36,0.145768235
meter,7/3/2020,16:48,0.16123476
meter,7/3/2020,17:00,0.216756705
meter,7/3/2020,17:12,0.254466107
meter,7/3/2020,17:24,0.28029845
meter,7/3/2020,17:36,0.32478046
meter,7/3/2020,17:48,0.334084686
meter,7/3/2020,18:00,0.352518941
meter,7/3/2020,18:12,0.340300753
meter,7/3/2020,18:24,0.340463284
meter,7/3/2020,18:36,0.357292527
meter,7/3/2020,18:48,0.345600645
meter,7/3/2020,19:00,0.34162987
meter,7/3/2020,19:12,0.350109001
meter,7/3/2020,19:24,0.330131072
meter,7/3/2020,19:36,0.33959051
meter,7/3/2020,19:48,0.337939321
meter,7/3/2020,20:00,0.333198666
meter,7/3/2020,20:12,0.321530201
meter,7/3/2020,20:24,0.327087921
meter,7/3/2020,20:36,0.313524168
meter,7/3/2020,20:48,0.313272136
meter,7/3/2020,21:00,0.315624764
meter,7/3/2020,21:12,0.314400774
meter,7/3/2020,21:24,0.315562736
meter,7/3/2020,21:36,0.309392494
