STATION,R_TRAIN,R_DRAIN,R_RAIN
A,0,5,0.06
A,5,5,0.06
A,10,6,0.06
A,16,5,0.06
A,21,5,0.06
A,26,5,0.06
A,31,6,0.06
A,37,5,0.06
A,42,6,0.06
A,48,5,0.06
A,53,5,0.06
A,58,6,0.06
A,64,5,0.06
A,69,5,0.06
A,74,5,0.06
A,79,6,0.06
A,85,5,0.06
A,90,5,0.06
A,95,5,0.06
A,100,5,0.06
A,105,6,0.06
A,111,10,0.06
A,121,5,0.06
A,126,6,0.06
A,132,5,0.06
A,137,5,0.06
A,142,5,0.06
A,147,5,0.06
A,152,6,0.06
A,158,5,0.06
A,163,5,0.06
A,168,6,0.06
A,174,5,0.06
A,179,6,0.06
A,185,6,0.06
A,191,5,0.06
A,196,6,0.06
A,202,6,0.06
A,208,5,0.06
A,213,6,0.06
A,219,6,0.06
A,225,6,0.06
A,231,5,0.06
A,236,6,0.06
A,242,6,0.06
A,248,6,0.06
A,254,6,0.06
A,260,6,0.06
A,266,6,0.06
A,272,6,0.06
A,278,5,0.06
A,283,8,0.07
A,291,5,0.07
A,296,5,0.07
A,301,6,0.07
A,307,5,0.07
A,312,5,0.07
A,317,4,0.07
A,321,4,0.07
A,325,4,0.07
A,329,4,0.07
A,333,4,0.07
A,337,4,0.07
A,341,4,0.07
A,345,4,0.07
A,349,3,0.07
A,352,4,0.07
A,356,4,0.07
A,360,4,0.07
A,364,4,0.07
A,368,4,0.07
A,372,4,0.07
A,376,4,0.07
A,380,4,0.07
A,384,4,0.07
A,388,3,0.07
A,391,4,0.07
A,395,4,0.07
A,399,4,0.07
A,403,4,0.07
A,407,4,0.07
A,411,4,0.07
A,415,4,0.07
A,419,4,0.07
A,423,4,0.07
A,427,4,0.07
A,431,4,0.07
A,435,4,0.07
A,439,4,0.07
A,443,4,0.07
A,447,4,0.07
A,451,5,0.07
A,456,5,0.07
A,461,4,0.07
A,465,6,0.07
A,471,5,0.07
A,476,5,0.07
A,481,5,0.07
A,486,6,0.07
A,492,5,0.07
A,497,6,0.07
A,503,6,0.07
A,509,5,0.07
A,514,6,0.07
A,520,5,0.07
A,525,6,0.07
A,531,5,0.07
A,536,5,0.07
A,541,5,0.07
A,546,5,0.07
A,551,5,0.07
A,556,5,0.07
A,561,6,0.07
A,567,5,0.07
A,572,6,0.07
A,578,5,0.07
A,583,6,0.07
A,589,5,0.07
A,594,5,0.07
A,599,5,0.07
A,604,6,0.07
A,610,5,0.07
A,615,5,0.07
A,620,6,0.07
A,626,5,0.07
A,631,6,0.07
A,637,5,0.07
A,642,6,0.07
A,648,6,0.07
A,654,7,0.07
A,661,6,0.07
A,667,6,0.07
A,673,6,0.07
A,679,6,0.07
A,685,5,0.07
A,690,6,0.07
A,696,6,0.07
A,702,6,0.08
A,708,7,0.08
A,715,10,0.08
A,725,7,0.08
A,732,6,0.08
A,738,7,0.08
A,745,6,0.08
A,751,7,0.08
A,758,6,0.1
A,764,8,0.1
A,772,7,0.14
A,779,6,0.16
A,785,6,0.22
A,791,6,0.26
A,797,6,0.32
A,803,6,0.34
A,809,5,0.36
A,814,6,0.36
A,820,5,0.36
A,825,6,0.36
A,831,6,0.36
A,837,5,0.38
A,842,6,0.4
A,848,6,0.4
A,854,5,0.44
A,859,6,0.46
A,865,6,0.48
A,871,6,0.5
A,877,6,0.52
A,883,5,0.52
A,888,6,0.54
A,894,6,0.54
A,900,6,0.56
A,906,6,0.58
A,912,7,0.58
A,919,6,0.58
A,925,6,0.58
A,931,6,0.58
A,937,7,0.58
A,944,6,0.58
A,950,6,0.58
A,956,6,0.58
A,962,7,0.58
A,969,5,0.58
A,974,7,0.58
A,981,6,0.58
A,987,6,0.58
A,993,6,0.58
A,999,7,0.58
A,1006,6,0.58
A,1012,6,0.58
A,1018,7,0.58
A,1025,5,0.58
A,1030,6,0.58
A,1036,7,0.58
A,1043,6,0.58
A,1049,6,0.58
A,1055,6,0.58
A,1061,7,0.58
A,1068,6,0.64
A,1074,6,0.68
A,1080,7,0.7
A,1087,6,0.72
A,1093,6,0.72
A,1099,6,0.72
A,1105,7,0.72
A,1112,6,0.72
A,1118,6,0.72
A,1124,6,0.72
A,1130,6,0.72
A,1136,6,0.72
A,1142,6,0.72
A,1148,6,0.72
A,1154,6,0.72
A,1160,7,0.72
A,1167,6,0.72
A,1173,6,0.72
A,1179,6,0.72
A,1185,7,0.72
A,1192,6,0.72
A,1198,6,0.72
A,1204,6,0.72
A,1210,7,0.72
A,1217,6,0.72
A,1223,6,0.72
A,1229,6,0.72
A,1235,6,0.72
A,1241,6,0.72
A,1247,9,0.72
A,1256,6,0.72
A,1262,6,0.72
A,1268,6,0.72
A,1274,6,0.72
A,1280,6,0.72
A,1286,6,0.72
A,1292,6,0.72
A,1298,7,0.72
A,1305,6,0.72
A,1311,6,0.72
A,1317,6,0.72
A,1323,7,0.72
A,1330,6,0.72
A,1336,6,0.72
A,1342,6,0.72
A,1348,6,0.72
A,1354,6,0.72
A,1360,6,0.72
A,1366,6,0.72
A,1372,6,0.74
A,1378,6,0.74
A,1384,5,0.74
A,1389,5,0.74
A,1394,5,0.74
A,1399,5,0.74
A,1404,5,0.74
A,1409,5,0.74
A,1414,5,0.74
A,1419,5,0.74
A,1424,5,0.74
A,1429,5,0.74
A,1434,5,0.74
A,1439,5,0.74
A,1444,5,0.74
A,1449,4,0.74
A,1453,5,0.74
A,1458,5,0.74
A,1463,4,0.74
A,1467,5,0.74
A,1472,5,0.74
A,1477,5,0.74
A,1482,4,0.74
A,1486,5,0.74
A,1491,5,0.74
A,1496,5,0.74
A,1501,4,0.74
A,1505,5,0.74
A,1510,5,0.74
A,1515,4,0.74
A,1519,5,0.74
A,1524,5,0.74
A,1529,5,0.74
A,1534,4,0.74
A,1538,5,0.74
A,1543,5,0.74
A,1548,4,0.74
A,1552,5,0.74
A,1557,5,0.74
A,1562,5,0.74
A,1567,4,0.74
