x,y,z
0.0,0,6.0
99.9,0,5.0
100.0,0,3.0
105.0,0,-2.0
115.0,0,-2.0
120.0,0,3.0
120.1,0,5.0
220.0,0,6.0
0.0,10,6.2
99.9,10,5.2
100.0,10,3.48
105.0,10,-1.52
115.0,10,-1.52
120.0,10,3.48
120.1,10,5.2
220.0,10,6.2
0.0,20,6.4
99.9,20,5.4
100.0,20,3.96
105.0,20,-1.04
115.0,20,-1.04
120.0,20,3.96
120.1,20,5.4
220.0,20,6.4
0.0,30,6.6
99.9,30,5.6
100.0,30,4.4399999999999995
105.0,30,-0.56
115.0,30,-0.56
120.0,30,4.4399999999999995
120.1,30,5.6
220.0,30,6.6
0.0,40,6.8
99.9,40,5.8
100.0,40,4.92
105.0,40,-0.08000000000000007
115.0,40,-0.08000000000000007
120.0,40,4.92
120.1,40,5.8
220.0,40,6.8
0.0,50,7.0
99.9,50,6.0
100.0,50,5.4
105.0,50,0.3999999999999999
115.0,50,0.3999999999999999
120.0,50,5.4
120.1,50,6.0
220.0,50,7.0
0.0,60,7.2
99.9,60,6.2
100.0,60,5.88
105.0,60,0.8799999999999999
115.0,60,0.8799999999999999
120.0,60,5.88
120.1,60,6.2
220.0,60,7.2
0.0,70,7.4
99.9,70,6.4
100.0,70,6.359999999999999
105.0,70,1.3599999999999999
115.0,70,1.3599999999999999
120.0,70,6.359999999999999
120.1,70,6.4
220.0,70,7.4
0.0,80,7.6
99.9,80,6.6
100.0,80,6.84
105.0,80,1.8399999999999999
115.0,80,1.8399999999999999
120.0,80,6.84
120.1,80,6.6
220.0,80,7.6
0.0,90,7.8
99.9,90,6.8
100.0,90,7.32
105.0,90,2.3200000000000003
115.0,90,2.3200000000000003
120.0,90,7.32
120.1,90,6.8
220.0,90,7.8
0.0,100,8.0
99.9,100,7.0
100.0,100,7.8
105.0,100,2.8
115.0,100,2.8
120.0,100,7.8
120.1,100,7.0
220.0,100,8.0
0.0,110,8.2
99.9,110,7.2
100.0,110,8.280000000000001
105.0,110,3.2800000000000002
115.0,110,3.2800000000000002
120.0,110,8.280000000000001
120.1,110,7.2
220.0,110,8.2
0.0,120,8.4
99.9,120,7.4
100.0,120,8.76
105.0,120,3.76
115.0,120,3.76
120.0,120,8.76
120.1,120,7.4
220.0,120,8.4
0.0,130,8.6
99.9,130,7.6
100.0,130,9.24
105.0,130,4.24
115.0,130,4.24
120.0,130,9.24
120.1,130,7.6
220.0,130,8.6
0.0,140,8.8
99.9,140,7.800000000000001
100.0,140,9.719999999999999
105.0,140,4.72
115.0,140,4.72
120.0,140,9.719999999999999
120.1,140,7.800000000000001
220.0,140,8.8
0.0,150,9.0
99.9,150,8.0
100.0,150,10.2
105.0,150,5.2
115.0,150,5.2
120.0,150,10.2
120.1,150,8.0
220.0,150,9.0
0.0,160,9.2
99.9,160,8.2
100.0,160,10.68
105.0,160,5.68
115.0,160,5.68
120.0,160,10.68
120.1,160,8.2
220.0,160,9.2
0.0,170,9.4
99.9,170,8.4
100.0,170,11.16
105.0,170,6.16
115.0,170,6.16
120.0,170,11.16
120.1,170,8.4
220.0,170,9.4
0.0,180,9.6
99.9,180,8.6
100.0,180,11.64
105.0,180,6.640000000000001
115.0,180,6.640000000000001
120.0,180,11.64
120.1,180,8.6
220.0,180,9.6
0.0,190,9.8
99.9,190,8.8
100.0,190,12.120000000000001
105.0,190,7.120000000000001
115.0,190,7.120000000000001
120.0,190,12.120000000000001
120.1,190,8.8
220.0,190,9.8
0.0,200,10.0
99.9,200,9.0
100.0,200,12.6
105.0,200,7.6
115.0,200,7.6
120.0,200,12.6
120.1,200,9.0
220.0,200,10.0
0.0,210,10.2
99.9,210,9.2
100.0,210,13.08
105.0,210,8.08
115.0,210,8.08
120.0,210,13.08
120.1,210,9.2
220.0,210,10.2
0.0,220,10.4
99.9,220,9.4
100.0,220,13.56
105.0,220,8.56
115.0,220,8.56
120.0,220,13.56
120.1,220,9.4
220.0,220,10.4
0.0,230,10.600000000000001
99.9,230,9.600000000000001
100.0,230,14.040000000000001
105.0,230,9.040000000000001
115.0,230,9.040000000000001
120.0,230,14.040000000000001
120.1,230,9.600000000000001
220.0,230,10.600000000000001
0.0,240,10.8
99.9,240,9.8
100.0,240,14.52
105.0,240,9.52
115.0,240,9.52
120.0,240,14.52
120.1,240,9.8
220.0,240,10.8
0.0,250,11.0
99.9,250,10.0
100.0,250,15.0
105.0,250,10.0
115.0,250,10.0
120.0,250,15.0
120.1,250,10.0
220.0,250,11.0
0.0,260,11.2
99.9,260,10.2
100.0,260,15.48
105.0,260,10.48
115.0,260,10.48
120.0,260,15.48
120.1,260,10.2
220.0,260,11.2
0.0,270,11.4
99.9,270,10.4
100.0,270,15.96
105.0,270,10.96
115.0,270,10.96
120.0,270,15.96
120.1,270,10.4
220.0,270,11.4
0.0,280,11.600000000000001
99.9,280,10.600000000000001
100.0,280,16.439999999999998
105.0,280,11.44
115.0,280,11.44
120.0,280,16.439999999999998
120.1,280,10.600000000000001
220.0,280,11.600000000000001
0.0,290,11.8
99.9,290,10.8
100.0,290,16.92
105.0,290,11.92
115.0,290,11.92
120.0,290,16.92
120.1,290,10.8
220.0,290,11.8
0.0,300,12.0
99.9,300,11.0
100.0,300,17.4
105.0,300,12.4
115.0,300,12.4
120.0,300,17.4
120.1,300,11.0
220.0,300,12.0
0.0,310,12.2
99.9,310,11.2
100.0,310,17.880000000000003
105.0,310,12.88
115.0,310,12.88
120.0,310,17.880000000000003
120.1,310,11.2
220.0,310,12.2
0.0,320,12.4
99.9,320,11.4
100.0,320,18.36
105.0,320,13.36
115.0,320,13.36
120.0,320,18.36
120.1,320,11.4
220.0,320,12.4
0.0,330,12.600000000000001
99.9,330,11.600000000000001
100.0,330,18.84
105.0,330,13.84
115.0,330,13.84
120.0,330,18.84
120.1,330,11.600000000000001
220.0,330,12.600000000000001
0.0,340,12.8
99.9,340,11.8
100.0,340,19.32
105.0,340,14.32
115.0,340,14.32
120.0,340,19.32
120.1,340,11.8
220.0,340,12.8
0.0,350,13.0
99.9,350,12.0
100.0,350,19.8
105.0,350,14.8
115.0,350,14.8
120.0,350,19.8
120.1,350,12.0
220.0,350,13.0
0.0,360,13.2
99.9,360,12.2
100.0,360,20.28
105.0,360,15.280000000000001
115.0,360,15.280000000000001
120.0,360,20.28
120.1,360,12.2
220.0,360,13.2
0.0,370,13.4
99.9,370,12.4
100.0,370,20.76
105.0,370,15.760000000000002
115.0,370,15.760000000000002
120.0,370,20.76
120.1,370,12.4
220.0,370,13.4
0.0,380,13.600000000000001
99.9,380,12.600000000000001
100.0,380,21.240000000000002
105.0,380,16.240000000000002
115.0,380,16.240000000000002
120.0,380,21.240000000000002
120.1,380,12.600000000000001
220.0,380,13.600000000000001
0.0,390,13.8
99.9,390,12.8
100.0,390,21.72
105.0,390,16.72
115.0,390,16.72
120.0,390,21.72
120.1,390,12.8
220.0,390,13.8
0.0,400,14.0
99.9,400,13.0
100.0,400,22.2
105.0,400,17.2
115.0,400,17.2
120.0,400,22.2
120.1,400,13.0
220.0,400,14.0
0.0,410,14.2
99.9,410,13.2
100.0,410,22.68
105.0,410,17.68
115.0,410,17.68
120.0,410,22.68
120.1,410,13.2
220.0,410,14.2
0.0,420,14.4
99.9,420,13.4
100.0,420,23.16
105.0,420,18.16
115.0,420,18.16
120.0,420,23.16
120.1,420,13.4
220.0,420,14.4
0.0,430,14.6
99.9,430,13.6
100.0,430,23.64
105.0,430,18.64
115.0,430,18.64
120.0,430,23.64
120.1,430,13.6
220.0,430,14.6
0.0,440,14.8
99.9,440,13.8
100.0,440,24.12
105.0,440,19.12
115.0,440,19.12
120.0,440,24.12
120.1,440,13.8
220.0,440,14.8
0.0,450,15.0
99.9,450,14.0
100.0,450,24.6
105.0,450,19.6
115.0,450,19.6
120.0,450,24.6
120.1,450,14.0
220.0,450,15.0
0.0,460,15.200000000000001
99.9,460,14.200000000000001
100.0,460,25.080000000000002
105.0,460,20.080000000000002
115.0,460,20.080000000000002
120.0,460,25.080000000000002
120.1,460,14.200000000000001
220.0,460,15.200000000000001
0.0,470,15.4
99.9,470,14.4
100.0,470,25.56
105.0,470,20.56
115.0,470,20.56
120.0,470,25.56
120.1,470,14.4
220.0,470,15.4
0.0,480,15.6
99.9,480,14.6
100.0,480,26.04
105.0,480,21.04
115.0,480,21.04
120.0,480,26.04
120.1,480,14.6
220.0,480,15.6
0.0,490,15.8
